"日付け","終値","始値","高値","安値","前日比率"
"2016年09月05日","61212.5938","61353.6602","62899.2539","59912.0859","-0.23"
"2016年09月04日","61353.6602","61472.0195","61895.4844","59673.1367","-0.19"
"2016年09月03日","61472.0195","59583.6250","61606.8672","57829.0039","3.17"
"2016年09月02日","59583.6250","57694.6094","59837.3008","55174.1328","3.27"
"2016年09月01日","57694.6094","57493.6836","59703.4766","57441.7500","0.35"
"2016年08月31日","57493.6836","58318.1133","59664.4727","57330.2930","-1.41"
"2016年08月30日","58318.1133","57453.2305","59322.5664","57015.4805","-1.91"
"2016年08月08日","59451.6445","59228.9297","59468.2305","56387.5195","0.38"
"2016年08月07日","59228.9297","56608.5508","59423.3906","55524.5078","4.63"
"2016年08月06日","56608.5508","55978.8594","58511.5977","55322.5938","1.12"
"2016年08月05日","55978.8594","58001.7813","58001.7813","54089.8398","-3.49"
"2016年08月04日","58001.7813","57167.2617","58163.4141","53556.2773","4.46"
"2016年08月03日","55527.2500","55730.6484","61680.1133","48645.8867","-0.36"
"2016年08月02日","55730.6484","61962.7695","64234.0977","48675.2500","-10.06"
"2016年08月01日","61962.7695","64787.0508","67298.1797","61962.7695","-3.10"
"2016年07月31日","63947.0508","66686.2266","67195.0469","63936.0898","-4.11"
"2016年07月30日","66686.2266","67558.1563","67558.1563","66306.2109","-1.29"
"2016年07月29日","67558.1563","67974.9141","68314.3906","66637.8594","-1.63"
"2016年07月27日","68680.7969","65486.0625","69082.5938","65464.7656","4.88"
"2016年07月26日","65486.0625","68015.8672","70012.7734","65486.0625","-3.72"
"2016年07月25日","68015.8672","70477.6875","70477.6875","68015.8672","-3.49"
"2016年07月24日","70477.6875","68995.8672","70477.6875","68368.5859","2.15"
"2016年07月23日","68995.8672","69006.7734","70703.4453","68488.8359","-0.02"
"2016年07月22日","69006.7734","70098.8125","70834.6719","69004.8750","-1.56"
"2016年07月21日","70098.8125","69687.8828","71795.2266","68867.7109","0.59"
"2016年07月20日","69687.8828","70771.2344","72022.3750","69428.7969","-1.53"
"2016年07月19日","70771.2344","71746.4297","72065.3047","69557.7734","-1.36"
"2016年07月18日","71746.4297","70325.1563","72084.8438","68564.1875","2.03"
"2016年07月17日","70321.6172","68777.7031","71523.3594","67919.3359","2.24"
"2016年07月16日","68777.7031","69308.5000","70389.5156","68026.9453","-0.77"
"2016年07月15日","69308.5000","68953.7031","70889.8750","67438.7891","0.51"
"2016年07月14日","68953.7031","67183.1328","70655.7188","65696.6797","2.64"
"2016年07月13日","67183.1328","69049.0469","70481.2422","64492.7266","-2.70"
"2016年07月12日","69049.0469","66175.5234","70374.7344","64924.3945","4.34"
"2016年07月11日","66175.5234","64375.2070","67276.7578","64294.7461","2.80"
"2016年07月10日","64375.2070","65127.1250","67666.2031","63833.3242","-1.15"
"2016年07月09日","65127.1250","68061.7266","68061.7266","63847.6367","-4.31"
"2016年07月08日","68061.7266","63644.9492","68072.3203","63308.9141","6.94"
"2016年07月07日","63644.9492","67787.9453","68854.5078","62859.4063","-6.11"
"2016年07月06日","67787.9453","67339.0469","70421.3594","66157.4297","0.67"
"2016年07月05日","67339.0469","69839.8906","69920.0703","66491.2891","-3.58"
"2016年07月04日","69839.8906","68320.5078","70616.1484","66390.0156","2.22"
"2016年07月03日","68320.5078","71378.3906","71643.0469","66161.9063","-4.28"
"2016年07月02日","71378.3906","69173.5547","71384.5234","66664.9375","3.19"
"2016年07月01日","69173.5547","67141.4688","69656.2344","64711.3594","3.03"
"2016年06月30日","67141.4688","65214.3984","69698.4141","63895.9844","2.95"
"2016年06月29日","65214.3984","66643.1719","72565.1094","63436.3789","-2.14"
"2016年06月28日","66643.1719","66360.0547","68168.7734","63324.5859","0.43"
"2016年06月27日","66360.0547","68271.8203","68271.8203","63114.2383","-2.80"
"2016年06月26日","68271.8203","68271.8203","68271.8203","68271.8203","0.00"
"2016年06月25日","68271.8203","68558.9453","68558.9453","68271.8203","-0.42"
"2016年06月24日","68558.9453","65776.3203","69098.8672","56212.9102","4.23"
"2016年06月23日","65776.3203","62411.3906","71072.7578","57229.5000","5.39"
"2016年06月22日","62411.3906","69219.9766","76534.5234","60374.0742","-9.84"
"2016年06月21日","69219.9766","78985.8125","79984.9531","67699.5078","-12.36"
"2016年06月20日","78985.8125","80094.5391","80249.5625","76722.9844","-1.38"
"2016年06月19日","80094.5391","79019.2969","81072.5859","76163.7344","1.36"
"2016年06月18日","79019.2969","78684.5156","81725.2266","75303.8047","0.43"
"2016年06月17日","78684.5156","80723.4531","81067.8984","74157.6406","-2.53"
"2016年06月16日","80723.4531","73273.7734","80723.4531","70090.1797","10.17"
"2016年06月15日","73273.7734","72693.0703","76797.0781","70558.7500","0.80"
"2016年06月14日","72693.0703","74594.1797","78735.1016","70413.4766","-2.55"
"2016年06月13日","74594.1797","70051.5078","76734.7188","64163.7344","6.48"
"2016年06月12日","70051.5078","64940.4805","72986.0625","60199.8047","7.80"
"2016年06月11日","64983.8086","61991.2031","65806.0625","60903.6719","4.83"
"2016年06月10日","61991.2031","60552.7734","62424.8320","60037.1758","2.38"
"2016年06月09日","60552.7734","60678.0938","62687.2852","59827.2891","-0.21"
"2016年06月08日","60678.0938","61129.7734","63557.4258","59889.3750","-0.74"
"2016年06月07日","61129.7734","62133.7500","64739.6484","59943.2461","-1.62"
"2016年06月06日","62133.7500","57676.0234","63508.0117","57359.0430","7.73"
"2016年06月05日","57676.0234","61302.5469","62516.3359","57425.2422","-5.92"
"2016年06月04日","61302.5469","58548.2578","62516.3359","56488.6133","4.70"
"2016年06月03日","58548.2578","56771.9297","61236.7930","55846.2539","3.13"
"2016年06月02日","56771.9297","58215.6172","60790.5859","55416.7852","-2.48"
"2016年06月01日","58215.6172","58109.5273","60423.8828","57322.9961","0.18"
"2016年05月31日","58109.5273","58527.6602","63695.9453","57508.6523","-0.71"
"2016年05月30日","58527.6602","58257.6875","63687.7305","50799.9609","0.46"
"2016年05月29日","58257.6875","53764.7578","61354.6602","47679.4063","8.36"
"2016年05月28日","53764.7578","50764.2266","54497.4727","47642.4414","3.45"
"2016年05月27日","51970.4180","45963.6133","53884.8086","44493.0703","13.07"
"2016年05月26日","45963.6133","46296.3477","49642.2070","44365.8633","-0.72"
"2016年05月25日","46296.3477","49227.1719","49607.3594","46289.1328","-5.95"
"2016年05月24日","49227.1719","48016.4258","49227.1719","46973.3789","2.52"
"2016年05月23日","48016.4258","48047.1914","48366.4805","45950.6367","-0.06"
"2016年05月22日","48047.1914","49057.3047","50516.8398","46202.7617","-2.06"
"2016年05月21日","49057.3047","47767.1250","49057.3047","47762.3867","2.70"
"2016年05月20日","47767.1250","47965.2930","50056.3750","47226.9102","-0.41"
"2016年05月19日","47965.2930","49316.7148","49985.7969","47965.2930","-2.74"
"2016年05月18日","49316.7148","49110.3320","50018.8008","48659.5156","0.42"
"2016年05月17日","49110.3320","49159.7109","50171.2148","48656.0977","-0.10"
"2016年05月16日","49159.7109","47771.6133","49582.3477","47771.6133","2.91"
"2016年05月15日","47771.6133","48910.3281","49828.0430","47466.2891","-2.33"
"2016年05月14日","48910.3281","49448.9414","49453.0273","48053.9023","-1.09"
"2016年05月13日","49448.9414","47622.6719","49584.2031","47498.6875","3.83"
"2016年05月12日","47622.6719","49291.5977","51209.7656","47183.3438","-3.39"
"2016年05月11日","49291.5977","49830.2891","51721.4141","47268.4531","-1.08"
"2016年05月10日","49830.2891","49346.6523","52521.5039","48399.5781","0.98"
"2016年05月09日","49346.6523","44494.1133","51471.6914","44494.1133","10.91"
"2016年05月08日","44494.1133","49845.1445","50690.7344","44468.2344","-10.74"
"2016年05月07日","49845.1445","49192.0234","51219.0000","46188.0977","1.33"
"2016年05月06日","49192.0234","48137.4883","49632.0391","47404.9492","2.19"
"2016年05月05日","48137.4883","47824.1055","49650.8672","46393.0078","0.66"
"2016年05月04日","47824.1055","47503.8203","49179.3008","46180.3203","0.67"
"2016年05月03日","47503.8203","47159.3320","49261.4961","45422.6055","0.73"
"2016年05月02日","47159.3320","47617.6094","49338.6484","45670.9961","-0.96"
"2016年05月01日","47617.6094","48114.5195","48271.7813","46735.4297","-1.03"
"2016年04月30日","48114.5195","48098.5586","48676.2539","46116.4648","0.03"
"2016年04月29日","48098.5586","48604.1055","50675.2734","46396.9805","-1.04"
"2016年04月28日","48604.1055","49019.9492","52351.7461","46079.5000","-0.85"
"2016年04月27日","49019.9492","51682.9219","52229.4531","48234.8359","-5.15"
"2016年04月26日","51682.9219","49028.6484","52709.0938","48361.1016","5.41"
"2016年04月25日","49028.6484","51588.1602","52903.1680","49025.1289","-4.96"
"2016年04月24日","51588.1602","49804.0977","51588.1602","49292.6680","3.58"
"2016年04月23日","49804.0977","49894.6055","50360.7695","48283.4766","-0.18"
"2016年04月22日","49894.6055","50655.9648","50919.7617","45149.2969","-1.50"
"2016年04月21日","50655.9648","47401.5000","50669.5039","45398.5508","6.87"
"2016年04月20日","47401.5000","46690.5898","49470.1602","45854.3906","1.52"
"2016年04月19日","46690.5898","46450.0078","48494.5664","46084.4180","0.52"
"2016年04月18日","46450.0078","46279.1797","48396.4609","45340.3125","0.37"
"2016年04月17日","46279.1797","46874.4766","48109.0234","46179.9688","-1.27"
"2016年04月16日","46874.4766","46406.2266","48461.9023","43996.9336","1.01"
"2016年04月15日","46406.2266","45801.2227","48315.5547","44785.5898","1.32"
"2016年04月14日","45801.2227","44973.9336","48307.4297","44973.9336","1.84"
"2016年04月13日","44973.9336","0.0000","50823.2852","0.0000","0.00"
"2016年04月12日","0.0000","45562.7148","50211.8945","0.0000","-100.00"
"2016年04月11日","45562.7148","45522.4609","49540.7695","45020.2383","0.09"
"2016年04月10日","45522.4609","45113.3164","50314.1133","44750.7031","0.91"
"2016年04月09日","45113.3164","45533.7773","48197.9492","44644.8828","-0.92"
"2016年04月08日","45533.7773","46881.7969","48310.7031","44990.7578","-2.88"
"2016年04月07日","46881.7969","46856.2148","48775.5898","45261.7813","0.05"
"2016年04月06日","46856.2148","46419.1406","49228.7891","45739.4727","0.94"
"2016年04月05日","46419.1406","44808.4492","49469.9336","44272.1211","3.59"
"2016年04月04日","44808.4492","46918.7617","48817.7461","44490.3516","-4.50"
"2016年04月03日","46918.7617","48069.6250","48305.2070","46213.4219","-2.39"
"2016年04月02日","48069.6250","47748.2305","48707.1914","46135.9844","0.67"
"2016年04月01日","47748.2305","46483.5938","49044.0703","46138.5586","2.72"
"2016年03月31日","46483.5938","46846.8672","49277.3516","45741.1523","-0.78"
"2016年03月30日","46846.8672","46734.8086","50026.5039","45897.9375","0.24"
"2016年03月29日","46734.8086","47616.8398","50935.6172","46153.5117","-1.85"
"2016年03月28日","47616.8398","48148.2617","50824.6406","46367.1328","-1.10"
"2016年03月27日","48148.2617","46669.2773","49400.3750","46346.4844","3.17"
"2016年03月26日","46669.2773","46886.1328","49348.2266","46613.9336","-0.46"
"2016年03月25日","46886.1328","46481.6055","49624.2578","46093.5469","0.87"
"2016年03月24日","46481.6055","46995.3789","49367.4570","45389.5273","-1.09"
"2016年03月23日","46995.3789","47743.5234","49407.9727","43904.3359","-1.57"
"2016年03月22日","47743.5234","46974.6406","49460.1953","43762.0703","1.64"
"2016年03月21日","46974.6406","45848.8711","48004.4336","44649.9180","2.46"
"2016年03月20日","45848.8711","45275.1875","48249.2695","45165.7695","1.27"
"2016年03月19日","45275.1875","45542.1719","49148.4297","45145.2227","-0.59"
"2016年03月18日","45542.1719","47034.4688","49166.0859","45326.8242","-3.17"
"2016年03月17日","47034.4688","46552.9023","49588.2578","45901.9219","1.03"
"2016年03月16日","46552.9023","47939.3242","49939.9766","46473.4648","-2.89"
"2016年03月15日","47939.3242","46867.6406","50070.0430","46489.2578","2.29"
"2016年03月14日","46867.6406","47496.7031","50133.0508","46074.5742","-1.32"
"2016年03月13日","47496.7031","47061.9023","49701.3828","46348.2227","0.92"
"2016年03月12日","47061.9023","47410.6367","50689.6563","46006.1602","-0.74"
"2016年03月11日","47410.6367","45647.8633","50581.2031","45555.8633","3.86"
"2016年03月10日","45647.8633","47748.6641","49071.6094","45450.6797","-4.40"
"2016年03月09日","47748.6641","46219.1250","48880.3633","45689.5313","3.31"
"2016年03月08日","46219.1250","46347.1797","49019.5586","45385.7852","-0.28"
"2016年03月07日","46347.1797","45941.4688","47238.0586","45451.8789","0.88"
"2016年03月06日","45941.4688","45282.5430","47957.7930","44604.1680","1.46"
"2016年03月05日","45282.5430","46889.8828","48662.3750","44353.5938","-3.43"
"2016年03月04日","46889.8828","46623.3242","48701.2930","46619.9102","0.57"
"2016年03月03日","46623.3242","47986.0547","51836.6680","46623.3242","-2.84"
"2016年03月02日","47986.0547","48969.5234","52501.8398","47696.5430","-2.01"
"2016年03月01日","48969.5234","49611.7852","52536.0430","47871.5508","-1.29"
"2016年02月29日","49611.7852","49261.4922","52286.1406","47700.4570","0.71"
"2016年02月28日","49261.4922","48471.1094","52100.4492","47438.4961","1.63"
"2016年02月27日","48471.1094","48881.2500","51990.3711","47582.2227","-0.84"
"2016年02月26日","48881.2500","47849.7695","51024.2031","46611.5000","2.16"
"2016年02月25日","47849.7695","47250.9961","50621.8047","46446.6914","1.27"
"2016年02月24日","47250.9961","46589.5313","51420.3164","45992.5625","1.42"
"2016年02月23日","46589.5313","49101.4297","51915.2031","44093.1367","-5.12"
"2016年02月22日","49101.4297","48758.3281","51709.1523","44260.8164","0.70"
"2016年02月21日","48758.3281","49081.7109","52503.0820","45267.4492","-0.66"
"2016年02月20日","49081.7109","47164.0195","50214.7617","46742.5078","4.07"
"2016年02月19日","47164.0195","47070.3047","54961.9141","46806.2578","0.20"
"2016年02月18日","47070.3047","47247.9688","55295.8828","46957.1211","-0.38"
"2016年02月17日","47247.9688","46907.0195","51293.9219","45624.0391","0.73"
"2016年02月16日","46907.0195","45708.9805","52614.1875","44682.8281","2.62"
"2016年02月15日","45708.9805","45356.3945","50453.0078","43943.6875","0.78"
"2016年02月14日","45356.3945","43891.5469","45356.3945","42983.0820","3.34"
"2016年02月13日","43891.5469","42967.9453","44022.4531","41968.9023","2.15"
"2016年02月12日","42967.9453","42431.2344","43308.2578","41159.2070","1.26"
"2016年02月11日","42431.2344","43134.9961","44013.1289","40142.9141","-1.63"
"2016年02月10日","43134.9961","43050.8477","44649.1172","42128.1641","0.20"
"2016年02月09日","43050.8477","42815.5078","44865.5391","42510.7344","0.55"
"2016年02月08日","42815.5078","43472.4883","44381.6328","42797.6875","-1.51"
"2016年02月07日","43472.4883","43585.4375","46377.2500","43088.1328","-0.26"
"2016年02月06日","43585.4375","44929.1563","46587.2109","40270.6641","-2.99"
"2016年02月05日","44929.1563","46952.6445","48076.9453","43471.9805","-4.31"
"2016年02月04日","46952.6445","42799.5078","47963.4141","42139.8242","9.70"
"2016年02月03日","42799.5078","43289.3711","46812.3672","41731.9766","-1.13"
"2016年02月02日","43289.3711","45384.8984","49442.8594","40068.3984","-4.62"
"2016年02月01日","45384.8984","44144.1797","49607.7773","44135.2773","2.81"
"2016年01月31日","44144.1797","46694.3008","47888.7656","44144.1797","-5.46"
"2016年01月30日","46694.3008","45248.4688","47827.2500","45060.8750","3.20"
"2016年01月29日","45248.4688","44839.4141","52944.4297","42804.5078","0.91"
"2016年01月28日","44839.4141","46729.0508","52581.0430","44618.0352","-4.04"
"2016年01月27日","46729.0508","46350.5547","50996.7188","45318.5078","0.82"
"2016年01月26日","46350.5547","44882.3320","50701.0156","43150.1055","3.27"
"2016年01月25日","44882.3320","47101.8906","49854.7109","43277.1289","-4.71"
"2016年01月24日","47100.8516","45291.8477","49434.9336","43744.4063","4.92"
"2016年01月23日","44892.8359","45174.6250","48768.1133","44723.3516","-0.62"
"2016年01月22日","45174.6250","50980.0742","50980.0742","44678.3789","-11.39"
"2016年01月21日","50980.0742","49500.3828","51057.3906","44437.9258","2.99"
"2016年01月20日","49500.3828","44564.9453","51525.6055","43940.2344","11.07"
"2016年01月19日","44564.9453","46107.9688","48199.1602","44168.8203","-3.07"
"2016年01月18日","45975.8867","46224.5430","48655.4023","44654.8867","0.09"
"2016年01月17日","45933.3750","45892.6563","48220.6367","43269.3750","0.09"
"2016年01月16日","45892.6563","42851.3438","51362.4766","41759.8398","-3.08"
"2016年01月15日","47352.3203","50042.0977","52388.4961","42838.9453","-5.38"
"2016年01月14日","50042.0977","50430.9922","53306.8867","49491.6641","-0.27"
"2016年01月13日","50175.3359","50981.2969","55715.5117","49656.9531","-1.58"
"2016年01月12日","50981.2969","52739.2578","55605.3203","50971.2578","-3.33"
"2016年01月11日","52739.2578","52145.2930","54083.3477","50704.0547","1.14"
"2016年01月10日","52145.2930","52788.5391","53979.6641","50707.8867","-1.22"
"2016年01月09日","52788.5391","53932.3984","55069.7422","52746.8555","-2.11"
"2016年01月08日","53926.1797","53835.7852","55553.4766","50766.3008","-0.78"
"2016年01月07日","54349.9609","51227.8516","55448.8281","50598.0000","5.69"
"2016年01月06日","51421.9570","52248.8320","52281.2344","50755.4336","-1.58"
"2016年01月05日","52248.8320","51391.7188","52487.8477","50928.7695","1.67"
"2016年01月04日","51391.7188","51488.8711","53298.4609","50530.4922","-0.19"
"2016年01月03日","51488.8711","51802.2773","52713.0508","50510.5039","-0.61"
"2016年01月02日","51802.2773","52048.2773","53387.0703","51550.2930","-0.47"
"2016年01月01日","52048.2773","51831.5703","53343.4688","50287.9023","0.42"
"2015年12月31日","51831.5703","51567.6445","53508.9297","50295.2969","0.51"
"2015年12月30日","51567.6445","53239.4766","54522.2695","50500.3438","-3.14"
"2015年12月29日","53239.4766","50547.0039","53964.2109","50112.7070","5.33"
"2015年12月28日","50547.0039","50611.7188","55294.5156","49459.7344","-0.13"
"2015年12月27日","50611.7188","50902.0781","54644.3008","48973.4180","-0.57"
"2015年12月26日","50902.0781","54685.8008","56158.5000","48971.1680","-6.92"
"2015年12月25日","54687.0820","55436.4414","56806.9766","53379.1914","-0.73"
"2015年12月24日","55091.6367","53546.0625","56870.0156","52737.2852","3.14"
"2015年12月23日","53414.1250","53323.4531","55585.2500","52231.9961","0.17"
"2015年12月22日","53323.4531","53394.1484","55800.6211","49847.7695","-0.13"
"2015年12月21日","53394.1484","46155.0508","55842.8203","46139.8906","15.68"
"2015年12月20日","46155.0508","56324.4258","56324.4258","46155.0508","-18.05"
"2015年12月19日","56324.4258","55370.3945","56686.8789","54021.2734","1.72"
"2015年12月18日","55370.3945","53957.2109","56790.8047","48300.5313","2.36"
"2015年12月17日","54093.0117","53836.7422","57607.0195","48299.0078","0.48"
"2015年12月16日","53836.7422","55419.1445","57265.9297","53224.5156","-2.86"
"2015年12月15日","55419.1445","52934.4883","56722.7539","47867.5469","4.69"
"2015年12月14日","52934.4883","47871.4648","54531.4492","46896.2500","10.58"
"2015年12月13日","47871.4648","47893.9180","53282.4336","46753.7734","-0.05"
"2015年12月12日","47893.9180","48754.1211","53280.6328","2662.3416","-1.76"
"2015年12月11日","48754.1211","50542.8281","52803.1484","15.7514","-3.55"
"2015年12月10日","50548.5781","51281.9453","52585.5508","49809.5508","-1.43"
"2015年12月09日","51281.9453","49087.6250","56605.2188","48167.7344","5.51"
"2015年12月08日","48603.0781","49678.2578","51648.6289","47306.2383","-0.95"
"2015年12月07日","49068.4531","48875.7734","52070.9648","47641.9102","-3.70"
"2015年12月06日","50954.3945","48157.1367","52015.5430","45681.2188","5.81"
"2015年12月05日","48157.1367","45270.0938","48414.5000","44991.8750","6.38"
"2015年12月04日","45270.0938","45612.1719","46734.8516","44045.0352","-0.75"
"2015年12月03日","45612.1719","44334.2305","45799.5664","42512.7109","2.88"
"2015年12月02日","44334.2305","44444.1367","47150.6758","41970.9258","-1.16"
"2015年12月01日","44856.3281","46301.4258","48158.0391","43110.6328","-3.43"
"2015年11月30日","46449.5156","44926.2539","47887.5156","43590.0664","5.77"
"2015年11月29日","43917.3984","43939.4063","46125.1875","43265.6367","0.07"
"2015年11月28日","43888.2305","44072.7188","45422.7148","42767.6133","-0.96"
"2015年11月27日","44313.2539","43606.3125","45316.9766","39970.8945","2.41"
"2015年11月26日","43271.7578","40094.1758","45289.0664","38908.3164","10.63"
"2015年11月25日","39113.4492","39192.1602","41328.5234","38338.2461","-0.80"
"2015年11月24日","39428.4727","39629.3398","40413.5430","38417.7539","-0.51"
"2015年11月23日","39629.3398","40229.7578","41085.3633","38450.0938","-0.35"
"2015年11月22日","39767.2383","40305.4609","41086.2891","39279.5859","0.64"
"2015年11月21日","39515.7617","38800.2891","41087.9297","37999.2617","-0.09"
"2015年11月20日","39551.0156","41169.6172","41319.3633","38005.3633","-1.27"
"2015年11月19日","40059.9805","41354.5195","41953.8320","39511.9492","-2.88"
"2015年11月18日","41249.8086","41012.7773","41966.3828","38256.4023","0.58"
"2015年11月17日","41012.7773","40552.9961","42114.2148","38196.0820","3.92"
"2015年11月16日","39467.4922","39409.6055","41277.3945","38282.5898","-3.62"
"2015年11月15日","40948.8555","40629.3555","41670.5234","38872.3164","0.29"
"2015年11月14日","40829.7539","41519.6172","42061.6641","40348.0234","-1.66"
"2015年11月13日","41519.6172","41480.3750","42321.0117","38888.8281","5.63"
"2015年11月12日","39306.0977","38132.2969","42510.1953","37726.2773","3.08"
"2015年11月11日","38132.2969","41749.6484","47445.3398","37548.6133","-8.66"
"2015年11月10日","41749.6484","46876.7813","48240.4102","40790.7969","-10.94"
"2015年11月09日","46876.0469","45961.1211","48212.7227","44472.8711","1.99"
"2015年11月08日","45961.1211","47548.4180","48681.1953","45272.1602","-3.34"
"2015年11月07日","47548.4180","46136.2305","49436.3242","43989.4766","3.06"
"2015年11月06日","46136.2305","48650.7773","55728.5977","42997.9805","-5.17"
"2015年11月05日","48650.7773","54206.4492","61438.5234","47182.1133","-18.46"
"2015年11月04日","59662.9688","48274.3945","62657.6250","42512.9219","23.59"
"2015年11月03日","48274.3945","43538.8008","48655.9102","39310.0703","10.88"
"2015年11月02日","43538.8008","40117.0117","44422.6797","37210.3047","8.53"
"2015年11月01日","40117.7500","38251.4336","40903.0938","36769.5156","4.88"
"2015年10月31日","38251.4336","40428.3906","42527.1953","37147.4805","-5.38"
"2015年10月30日","40428.3906","38325.4766","42577.2773","34900.0000","5.49"
"2015年10月29日","38325.4766","36538.8359","39016.3711","34900.0000","4.89"
"2015年10月28日","36538.8359","35208.4375","37131.3672","33953.1484","6.62"
"2015年10月27日","34271.3242","34163.7266","36078.9258","33598.8633","0.31"
"2015年10月26日","34163.7266","34338.3203","35501.7773","33431.1914","-0.51"
"2015年10月25日","34338.3203","33312.8867","36064.3008","33125.7461","3.08"
"2015年10月24日","33312.8867","33203.0117","34138.0820","32475.4199","0.15"
"2015年10月23日","33264.3477","32393.8281","34225.3672","31615.8047","2.69"
"2015年10月22日","32393.8281","31379.2305","33570.4258","30544.5449","1.52"
"2015年10月21日","31910.2266","32196.5742","32627.2266","30258.4258","-0.07"
"2015年10月20日","31932.1426","31548.6387","32425.9277","30595.2266","2.40"
"2015年10月19日","31185.2500","30694.6992","32149.2676","30149.0117","2.00"
"2015年10月18日","30574.3574","30631.9551","32337.9883","30024.1055","-0.74"
"2015年10月17日","30803.2891","30365.2813","32183.1191","29054.9141","0.86"
"2015年10月16日","30539.1914","30258.5078","31297.0137","29049.5391","0.93"
"2015年10月15日","30258.5078","29671.3828","30554.5039","28938.4473","0.57"
"2015年10月14日","30087.8848","29713.1738","30665.7949","28732.3906","1.26"
"2015年10月13日","29713.1738","29436.4941","31292.0098","28965.5234","0.94"
"2015年10月12日","29436.4941","29436.4941","29436.4941","29436.4941","0.00"
"2015年10月11日","29436.4941","29436.4941","29436.4941","29436.4941","0.00"
"2015年10月10日","29436.4941","29053.6777","30123.1094","28493.9824","0.48"
"2015年10月09日","29297.1875","28955.1641","30116.6348","27865.5645","1.18"
"2015年10月08日","28955.1641","28218.0215","30117.5547","27543.0488","2.61"
"2015年10月07日","28217.9102","29014.0781","29710.6484","27363.4297","-1.57"
"2015年10月06日","28666.5527","28630.1172","29629.5898","27767.9160","0.13"
"2015年10月05日","28630.1172","27940.7266","28894.5234","27458.5469","2.47"
"2015年10月04日","27941.3164","28107.0742","29246.7402","27439.3535","0.04"
"2015年10月03日","27930.4277","27933.1387","28836.7363","27434.6602","-1.68"
"2015年10月02日","28408.3789","27953.6035","28896.1133","27248.4434","0.58"
"2015年10月01日","28243.5840","28024.0313","29074.3340","27227.4551","0.78"
"2015年09月30日","28024.0313","28472.3613","29365.3926","27929.9160","-1.57"
"2015年09月29日","28472.3613","27868.2285","29501.3789","27583.2168","2.96"
"2015年09月28日","27653.2988","27880.9258","28893.9570","27060.5938","-0.90"
"2015年09月27日","27904.7520","28213.4277","28918.1777","27861.5586","-0.97"
"2015年09月26日","28178.3398","28349.9785","28646.3281","27880.8496","-0.61"
"2015年09月25日","28349.9785","27972.0547","28678.1504","27553.3457","1.35"
"2015年09月24日","27972.0547","27645.6738","28458.4785","27168.6680","1.15"
"2015年09月23日","27652.7051","27409.5488","27990.2949","26843.2598","2.58"
"2015年09月22日","26956.5723","27265.6934","27960.7305","26786.8301","-1.26"
"2015年09月21日","27300.1621","27577.0234","28209.1934","22759.2930","-1.00"
"2015年09月20日","27577.0234","27687.3477","28238.9082","27213.1035","0.28"
"2015年09月19日","27499.1680","27627.0371","28308.4375","27350.9141","0.05"
"2015年09月18日","27485.5410","27619.9902","28516.8906","27215.6953","-0.49"
"2015年09月17日","27620.6426","27416.8730","28051.0566","26857.5879","0.74"
"2015年09月16日","27416.8730","27377.8379","28050.3379","27107.6582","-0.96"
"2015年09月15日","27683.1953","27873.2793","28470.4004","26996.2363","-0.68"
"2015年09月14日","27873.2793","27692.1367","28482.6621","27234.8848","0.65"
"2015年09月13日","27692.1367","28242.2520","28882.9375","27270.0430","-1.95"
"2015年09月12日","28242.2520","28807.4551","29126.9473","26745.1367","-1.96"
"2015年09月11日","28807.4551","27949.8789","29259.3887","26241.3027","2.98"
"2015年09月10日","27974.6973","28176.6055","29662.1875","26268.5078","-0.68"
"2015年09月09日","28165.9063","28816.8945","29701.3105","22848.2305","-3.85"
"2015年09月08日","29294.5039","28724.3613","29494.5820","22657.6230","2.74"
"2015年09月07日","28511.9863","28291.4551","29185.9492","27683.4570","0.78"
"2015年09月06日","28291.4551","27681.0840","28981.6973","27179.4727","2.28"
"2015年09月05日","27662.0039","27284.4180","28048.6855","26720.5996","1.44"
"2015年09月04日","27269.1875","27107.7598","27629.0645","26534.9570","0.60"
"2015年09月03日","27107.7598","27361.9609","28119.7383","26701.0723","-0.53"
"2015年09月02日","27253.4668","26732.1875","27905.8750","26160.5020","1.94"
"2015年09月01日","26735.9199","27608.3926","28326.2363","26292.1836","-3.16"
"2015年08月31日","27608.3926","26855.2637","28221.1348","26404.1973","4.30"
"2015年08月30日","26469.7598","28029.7695","28421.0254","26198.7402","-1.44"
"2015年08月29日","26856.3770","27985.7695","28572.5957","25763.5898","-4.04"
"2015年08月28日","27985.7695","27247.9063","28499.9570","26398.9160","2.08"
"2015年08月27日","27415.0664","27409.7773","27913.1563","26719.4023","-0.05"
"2015年08月26日","27430.1152","26762.1523","27809.3145","25221.1699","2.50"
"2015年08月25日","26762.1523","25967.6055","27406.9980","24291.7285","3.06"
"2015年08月24日","25967.6055","27832.2910","28951.0332","25734.4277","-6.70"
"2015年08月23日","27832.2910","27942.4063","28495.5957","27517.7031","-0.39"
"2015年08月22日","27942.4063","28446.2891","29119.2520","27163.0234","-1.80"
"2015年08月21日","28453.9238","29119.6797","29363.2109","28196.4668","-2.29"
"2015年08月20日","29119.6797","28055.6777","29990.9492","27579.5996","3.80"
"2015年08月19日","28053.7813","28436.9609","32086.2637","27644.7480","-11.14"
"2015年08月18日","31571.8477","31908.8379","32486.1836","27669.9492","-1.06"
